Date,BTC_Price,BTC_Volume,ETH_Price,ETH_Volume,NVDA_Close,NVDA_Volume,AMD_Close,AMD_Volume,INTC_Close,INTC_Volume,GPU_Stock_Index,GPU_Launch_Dates
2020-12-02,19201.091796875,37387697139,598.3523559570312,16883292129,13.503280639648438,283360000.0,93.73999786376953,57988800.0,45.11086654663086,33753500.0,381.3234248307114,1
2020-12-03,19445.3984375,31930317405,616.708740234375,16146190946,13.35917854309082,199520000.0,92.30999755859375,35859700.0,46.09624099731445,50261200.0,377.06542010888893,0
2020-12-04,18699.765625,33872388058,569.3541870117188,16337589997,13.52098274230957,202244000.0,94.04000091552734,45570300.0,47.00027847290039,39767700.0,383.1029961317767,0
2020-12-05,19154.23046875,27242455064,596.595458984375,13498010566,13.52098274230957,,94.04000091552734,,47.00027847290039,,383.1029961317767,0
2020-12-06,19345.12109375,25293775714,601.9089965820312,11290893016,13.52098274230957,,94.04000091552734,,47.00027847290039,,383.1029961317767,0
2020-12-07,19191.630859375,26896357742,591.8433837890625,10720480962,13.569348335266113,223244000.0,94.06999969482422,39815700.0,45.3820686340332,51040300.0,382.9407838102583,0
2020-12-08,18321.14453125,31692288756,554.8277587890625,14398919320,13.313302993774414,271920000.0,92.91999816894531,33907500.0,45.82503890991211,28956500.0,377.684027434257,1
2020-12-09,18553.916015625,34420373071,573.4791259765625,15855915840,12.895206451416016,401300000.0,89.83000183105469,52170400.0,45.26455307006836,34068400.0,365.8916173831273,0
2020-12-10,18264.9921875,25547132265,559.6785278320312,11672582040,12.936592102050781,207764000.0,91.66000366210938,33804400.0,45.43630599975586,33706000.0,370.3539681864408,0
2020-12-11,18058.904296875,27919640985,545.79736328125,11098819124,12.977479934692383,209264000.0,91.6500015258789,28368100.0,44.95718002319336,29398800.0,370.5804796480242,0
2020-12-12,18803.65625,21752580802,568.5673217773438,8534557897,12.977479934692383,,91.6500015258789,,44.95718002319336,,370.5804796480242,0
2020-12-13,19142.3828125,25450468637,589.6632080078125,9070377862,12.977479934692383,,91.6500015258789,,44.95718002319336,,370.5804796480242,0
2020-12-14,19246.64453125,22473997681,586.0111694335938,8125837102,13.272165298461914,270156000.0,94.77999877929688,48026400.0,45.62615966796875,33436400.0,381.04978428242424,0
2020-12-15,19417.076171875,26741982541,589.3555908203125,9326645840,13.323777198791504,193016000.0,97.12000274658203,57232700.0,45.80696487426758,25465600.0,386.7211010017158,0
2020-12-16,21310.59765625,44409011479,636.1818237304688,15817248373,13.206100463867188,223116000.0,96.8499984741211,34909000.0,46.213775634765625,28351000.0,384.95462874434025,0
2020-12-17,22805.162109375,71378606374,642.8689575195312,25479532147,13.304579734802246,231384000.0,96.83999633789062,32023700.0,45.788875579833984,26399000.0,385.88999593446493,0
2020-12-18,23137.9609375,40387896275,654.8119506835938,15756303983,13.235517501831055,342064000.0,95.91999816894531,51823100.0,42.90503692626953,119298400.0,381.69424313465936,0
2020-12-19,23869.83203125,38487546580,659.2979125976562,12830893778,13.235517501831055,,95.91999816894531,,42.90503692626953,,381.69424313465936,0
2020-12-20,23477.294921875,37844228422,638.2908325195312,13375855442,13.235517501831055,,95.91999816894531,,42.90503692626953,,381.69424313465936,0
2020-12-21,22803.08203125,45852713981,609.81787109375,14419493621,13.295601844787598,302332000.0,93.2300033569336,47093900.0,41.91061019897461,53775700.0,376.200726539526,0
2020-12-22,23783.029296875,44171632681,634.8541870117188,14745890080,13.24174976348877,185580000.0,93.16000366210938,35673700.0,41.738853454589844,32171200.0,375.3294459213626,0
2020-12-23,23241.345703125,51146161904,583.714599609375,15261413038,12.973489761352539,179144000.0,91.55000305175781,25993300.0,42.10045623779297,22564200.0,368.9106983614661,0
2020-12-24,23735.94921875,41080759713,611.607177734375,14317413703,12.95803165435791,97884000.0,91.80999755859375,16705900.0,42.55247497558594,11865600.0,369.5030370722477,0
2020-12-25,24664.791015625,42068395846,626.4107055664062,13520927700,12.95803165435791,,91.80999755859375,,42.55247497558594,,369.5030370722477,0
2020-12-26,26437.037109375,48332647295,635.8358154296875,14761125202,12.95803165435791,,91.80999755859375,,42.55247497558594,,369.5030370722477,0
2020-12-27,26272.294921875,66479895605,682.642333984375,26093552821,12.95803165435791,,91.80999755859375,,42.55247497558594,,369.5030370722477,0
2020-12-28,27084.80859375,49056742893,730.3973388671875,24222565862,12.86453914642334,212564000.0,91.5999984741211,30627300.0,42.55247497558594,21269200.0,367.949655367455,0
2020-12-29,27362.4375,45265946774,731.5201416015625,18710683199,12.907670974731445,170372000.0,90.62000274658203,31748200.0,44.64980697631836,84531400.0,367.41397404639935,0
2020-12-30,28840.953125,51287442704,751.6189575195312,17294574210,13.109614372253418,225396000.0,92.29000091552734,25845000.0,44.07123947143555,37385400.0,373.067650529263,0
2020-12-31,29001.720703125,46754964848,737.8034057617188,13926846861,13.01911449432373,192424000.0,91.70999908447266,24930700.0,45.038543701171875,28576800.0,371.2411950320213,0
2021-01-01,29374.15234375,40730301359,730.3675537109375,13652004358,13.01911449432373,,91.70999908447266,,45.038543701171875,,371.2411950320213,0
2021-01-02,32127.267578125,67865420765,774.5349731445312,19740771179,13.01911449432373,,91.70999908447266,,45.038543701171875,,371.2411950320213,0
2021-01-03,32782.0234375,78665235202,975.5076904296875,45200463368,13.01911449432373,,91.70999908447266,,45.038543701171875,,371.2411950320213,0
2021-01-04,31971.9140625,81163475344,1040.2330322265625,56945985763,13.07745361328125,560640000.0,92.30000305175781,51802600.0,44.902931213378906,46102500.0,373.1185279734374,0
